Date,Price,Open,High,Low,Vol.(millions),Change
17-08-2023,219.22,226.06,226.74,218.83,120.72,-0.0283
16-08-2023,225.6,228.02,233.97,225.38,112.49,-0.0316
15-08-2023,232.96,238.73,240.5,232.61,88.2,-0.0284
14-08-2023,239.76,235.7,240.66,233.75,98.6,-0.0119
11-08-2023,242.65,241.77,243.79,238.02,99.04,-0.011
10-08-2023,245.34,245.4,251.8,243,109.5,0.013
09-08-2023,242.19,250.87,251.1,241.9,101.6,-0.0301
08-08-2023,249.7,247.45,250.92,245.01,96.64,-0.007
07-08-2023,251.45,251.45,253.65,242.76,111.1,-0.0095
04-08-2023,253.86,260.97,264.77,253.11,99.54,-0.0211
03-08-2023,259.32,252.04,260.49,252,97.83,0.0205
02-08-2023,254.11,255.57,259.52,250.49,101.75,-0.0267
01-08-2023,261.07,266.26,266.47,260.25,83.65,-0.0238
31-07-2023,267.43,267.48,269.08,263.78,84.58,0.0037
28-07-2023,266.44,259.86,267.25,258.23,111.45,0.042
27-07-2023,255.71,268.31,269.13,255.3,103.7,-0.0327
26-07-2023,264.35,263.25,268.04,261.75,95.86,-0.0035
25-07-2023,265.28,272.38,272.9,265,112.76,-0.014
24-07-2023,269.06,255.85,269.85,254.12,137,0.0348
21-07-2023,260.02,268,268,255.8,161.8,-0.011
20-07-2023,262.9,279.56,280.93,261.2,175.16,-0.0974
19-07-2023,291.26,296.04,299.29,289.52,142.36,-0.0071
18-07-2023,293.34,290.15,295.26,286.01,112.44,0.0102
17-07-2023,290.38,286.63,292.23,283.57,131.57,0.032
14-07-2023,281.38,277.01,285.3,276.31,120.06,0.0125
13-07-2023,277.9,274.59,279.45,270.6,112.68,0.0217
12-07-2023,271.99,276.33,276.52,271.46,95.67,0.0082
11-07-2023,269.79,268.65,270.9,266.37,91.97,0.0007
10-07-2023,269.61,276.47,277.52,265.1,119.43,-0.0176
07-07-2023,274.43,278.43,280.78,273.77,113.88,-0.0076
06-07-2023,276.54,278.09,279.97,272.88,120.71,-0.021
05-07-2023,282.48,278.82,283.85,277.6,131.53,0.0095
03-07-2023,279.82,276.49,284.25,275.11,119.69,0.069
30-06-2023,261.77,260.6,264.45,259.89,112.62,0.0166
29-06-2023,257.5,258.03,260.74,253.61,131.28,0.0049
28-06-2023,256.24,249.7,259.88,248.89,159.77,0.0241
27-06-2023,250.21,243.24,250.39,240.85,164.97,0.038
26-06-2023,241.05,250.07,258.37,240.7,179.99,-0.0606
23-06-2023,256.6,259.29,262.45,252.8,177.46,-0.0303
22-06-2023,264.61,250.77,265,248.25,166.88,0.0198
21-06-2023,259.46,275.13,276.99,257.78,211.8,-0.0546
20-06-2023,274.45,261.5,274.75,261.12,165.61,0.0534
16-06-2023,260.54,258.92,263.6,257.21,167.92,0.0181
15-06-2023,255.9,248.4,258.95,247.29,160.17,-0.0035
14-06-2023,256.79,260.17,261.57,250.5,170.58,-0.0074
13-06-2023,258.71,253.51,259.68,251.34,162.38,0.0355
12-06-2023,249.83,247.94,250.97,244.59,150.74,0.0222
09-06-2023,244.4,249.07,252.42,242.02,200.24,0.0406
08-06-2023,234.86,224.22,235.23,223.01,164.49,0.0458
07-06-2023,224.57,228,230.83,223.2,185.71,0.0147
06-06-2023,221.31,216.14,221.91,212.53,146.91,0.017
05-06-2023,217.61,217.8,221.29,214.52,151.14,0.017
02-06-2023,213.97,210.15,217.25,209.75,164.4,0.0311
01-06-2023,207.52,202.59,209.8,199.37,148.03,0.0176
31-05-2023,203.93,199.78,203.95,195.12,150.71,0.0138
30-05-2023,201.16,200.1,204.48,197.53,128.82,0.0414
26-05-2023,193.17,184.62,198.6,184.53,162.06,0.0472
25-05-2023,184.47,186.54,186.78,180.58,96.87,0.0086
24-05-2023,182.9,182.23,184.22,178.22,137.6,-0.0154
23-05-2023,185.77,186.2,192.96,185.26,156.95,-0.0164
22-05-2023,188.87,180.7,189.32,180.11,132,0.0485
19-05-2023,180.14,177.17,181.95,176.31,136.2,0.0184
18-05-2023,176.89,174.22,177.06,172.45,109.52,0.0174
17-05-2023,173.86,168.41,174.5,167.18,125.47,0.0441
16-05-2023,166.52,165.65,169.52,164.35,98.29,0.001
15-05-2023,166.35,167.65,169.76,164.55,105.59,-0.0097
12-05-2023,167.98,176.07,177.38,167.23,157.85,-0.0238
11-05-2023,172.08,168.7,173.57,166.79,103.89,0.021
10-05-2023,168.54,172.55,174.43,166.68,119.84,-0.0036
09-05-2023,169.15,168.95,169.82,166.56,88.97,-0.0154
08-05-2023,171.79,173.72,173.8,169.19,112.25,0.0102
05-05-2023,170.06,163.97,170.79,163.51,107.61,0.055
04-05-2023,161.2,162.71,162.95,159.65,95.11,0.0037
03-05-2023,160.61,160.01,165,159.91,119.73,0.0019
02-05-2023,160.31,161.88,165.49,158.93,128.26,-0.0094
01-05-2023,161.83,163.17,163.28,158.83,109.02,-0.0151
28-04-2023,164.31,160.9,165,157.32,122.52,0.0257
27-04-2023,160.19,152.64,160.48,152.37,127.02,0.0419
26-04-2023,153.75,160.29,160.67,153.14,153.36,-0.0431
25-04-2023,160.67,159.82,163.47,158.75,122,-0.0116
24-04-2023,162.55,164.65,165.65,158.61,140.01,-0.0153
21-04-2023,165.08,164.8,166,161.32,123.54,0.0128
20-04-2023,162.99,166.16,169.7,160.56,210.97,-0.0975
19-04-2023,180.59,179.1,183.5,177.65,125.73,-0.0202
18-04-2023,184.31,187.15,187.69,183.58,92.07,-0.0146
17-04-2023,187.04,186.32,189.69,182.69,116.66,0.011
14-04-2023,185,183.95,186.28,182.01,96.44,-0.0048
13-04-2023,185.9,182.96,186.5,180.94,112.93,0.0297
12-04-2023,180.54,190.74,191.58,180.31,150.26,-0.0335
11-04-2023,186.79,186.69,189.19,185.65,115.77,0.0124
10-04-2023,184.51,179.94,185.1,176.11,142.16,-0.003
06-04-2023,185.06,183.08,186.39,179.74,123.86,-0.0025
05-04-2023,185.52,190.51,190.68,183.76,133.88,-0.0367
04-04-2023,192.58,197.32,198.74,190.32,126.46,-0.0112
03-04-2023,194.77,199.91,202.69,192.2,169.55,-0.0612
31-03-2023,207.46,197.53,207.79,197.2,170.22,0.0624
30-03-2023,195.28,195.58,197.33,194.42,110.25,0.0072
29-03-2023,193.88,193.13,195.29,189.44,123.66,0.0248
28-03-2023,189.19,192,192.35,185.43,98.66,-0.0137
27-03-2023,191.81,194.41,197.39,189.94,120.85,0.0074
24-03-2023,190.41,191.65,192.36,187.15,116.53,-0.0094
23-03-2023,192.22,195.26,199.31,188.65,144.19,0.0056
22-03-2023,191.15,199.3,200.66,190.95,150.38,-0.0325
21-03-2023,197.58,188.28,198,188.04,153.39,0.0782
20-03-2023,183.25,178.08,186.44,176.35,129.68,0.0173
17-03-2023,180.13,184.51,186.22,177.33,133.2,-0.0217
16-03-2023,184.13,180.37,185.81,178.84,121.37,0.0204
15-03-2023,180.45,180.8,182.34,176.03,146,-0.0153
14-03-2023,183.26,177.31,183.8,177.14,143.72,0.0503
13-03-2023,174.48,167.46,177.35,163.91,167.79,0.006
10-03-2023,173.44,175.13,178.29,168.44,191.49,0.003
09-03-2023,172.92,180.25,185.18,172.51,170.02,-0.0499
08-03-2023,182,185.04,186.5,180,151.9,-0.0304
07-03-2023,187.71,191.38,194.2,186.1,148.13,-0.0315
06-03-2023,193.81,198.54,198.6,192.3,128.1,-0.0201
03-03-2023,197.79,194.79,200.48,192.88,154.19,0.0361
02-03-2023,190.9,186.74,193.75,186.01,181.98,-0.0585
01-03-2023,202.77,206.21,207.2,198.52,156.85,-0.0143
28-02-2023,205.71,210.59,211.23,203.75,153.14,-0.0092
27-02-2023,207.63,202.03,209.42,201.26,161.03,0.0546
24-02-2023,196.88,196.32,197.67,192.8,142.23,-0.0257
23-02-2023,202.07,203.91,205.14,196.33,146.36,0.006
22-02-2023,200.86,197.93,201.99,191.78,191.83,0.0177
21-02-2023,197.37,204.99,209.71,197.22,180.02,-0.0525
17-02-2023,208.31,199.99,208.44,197.5,213.74,0.031
16-02-2023,202.04,210.78,217.65,201.84,229.59,-0.0569
15-02-2023,214.24,211.76,214.66,206.11,182.11,0.0238
14-02-2023,209.25,191.94,209.82,189.44,216.46,0.0751
13-02-2023,194.64,194.41,196.3,187.61,172.48,-0.0114
